brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
porsche,panamera sport turismo 4,2023.0,280.0,2.9l v6 24v gdi dohc twin turbo,2.9,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,chalk,119995.0,1.0,,138125.83214070267,-18130.832140702667,18130.832140702667,-13.126315229893848,within_20_percent
land,rover lr4 base,2016.0,62765.0,3.0l v6 di dohc s/c 3.0l,,automatic,1.0,gasoline,four-wheel drive,19.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,tan,black,29995.0,8.0,21.0,48057.00088618596,-18062.00088618596,18062.00088618596,-37.58453618227745,potentially_underpriced
jeep,wrangler rubicon,2021.0,29275.0,3.6l v6 24v mpfi dohc,3.6,8-speed automatic,1.0,gasoline,four-wheel drive,21.0,28.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,black,gray,14950.0,3.0,24.5,32864.93557749387,-17914.935577493867,17914.935577493867,-54.510788664871555,potentially_underpriced
porsche,cayenne base (tiptronic),2018.0,30491.0,3.6l v6 24v gdi dohc,3.6,8-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,black,43298.0,6.0,,61112.66381316379,-17814.66381316379,17814.66381316379,-29.15052740562501,potentially_underpriced
cadillac,xt6 premium luxury awd,2022.0,7399.0,3.6l v6 24v gdi dohc,3.6,automatic,1.0,gasoline,four-wheel drive,23.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,cirrus,stellar black metallic,48000.0,2.0,27.5,65788.21744341764,-17788.21744341764,17788.21744341764,-27.038606812407895,potentially_underpriced
bmw,550 gran turismo i xdrive,2013.0,78108.0,4.4l v8 32v gdi dohc twin turbo,4.4,8-speed automatic,1.0,gasoline,four-wheel drive,16.0,24.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,cinnamon brown,deep sea blue metallic,17900.0,11.0,20.0,35509.27127233108,-17609.271272331083,17609.271272331083,-49.59062983095424,potentially_underpriced
porsche,taycan cross turismo 4,2021.0,28030.0,electric,,2-speed automatic,1.0,electric,four-wheel drive,15.0,19.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,black,jet black metallic,89995.0,3.0,17.0,107479.5971754208,-17484.5971754208,17484.5971754208,-16.2678290902818,within_20_percent
mercedes-benz,amg glc 63 s 4matic,2020.0,30234.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,19.0,27.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,red pepper,graphite gray metallic,64823.0,4.0,23.0,82251.56715630117,-17428.56715630117,17428.56715630117,-21.18934356980941,potentially_underpriced
porsche,panamera 4s,2018.0,19404.0,2.9l v6 24v gdi dohc twin turbo,2.9,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,20.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,burgundy red metallic,72400.0,6.0,22.5,89626.72513834882,-17226.72513834882,17226.72513834882,-19.220522798035354,within_20_percent
nissan,frontier s,2023.0,5272.0,3.8l v6 24v gdi dohc,3.8,automatic,1.0,gasoline,four-wheel drive,29.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,charcoal,black,32788.0,1.0,34.0,49931.5081831495,-17143.508183149497,17143.508183149497,-34.33404839338491,potentially_underpriced
kia,telluride lx,2022.0,15074.0,"lambda ii 3.8l v-6 gasoline direct injection, dohc, d-cvvt varia",,automatic,1.0,gasoline,four-wheel drive,21.0,29.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,black,ebony black,36681.0,2.0,25.0,53795.63439051491,-17114.63439051491,17114.63439051491,-31.814169652272962,potentially_underpriced
lexus,nx 350 f sport handling,2022.0,10611.0,2.4l i4 16v pdi dohc turbo,2.4,8-speed automatic,1.0,gasoline,four-wheel drive,18.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,red,atomic silver,49197.0,2.0,21.0,66228.91568929671,-17031.915689296715,17031.915689296715,-25.71673643156029,potentially_underpriced
porsche,macan gts,2023.0,3875.0,2.9l v6 24v gdi dohc twin turbo,2.9,automatic,1.0,gasoline,four-wheel drive,18.0,23.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,black,jet black metallic,98694.0,1.0,20.5,115682.86272790503,-16988.862727905027,16988.862727905027,-14.68572122723496,within_20_percent
maserati,ghibli s q4 3.0l,2021.0,11507.0,3.0l twin turbo v6 -inc: engine start/stop system,3.0,automatic,1.0,gasoline,four-wheel drive,15.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,brown,blue,58495.0,3.0,20.0,75371.27698182492,-16876.27698182492,16876.27698182492,-22.390859830986383,potentially_underpriced
jaguar,f-type r,2023.0,1540.0,v8,,automatic,1.0,gasoline,four-wheel drive,18.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,tan,santorini black,95000.0,1.0,20.5,111831.48631457606,-16831.48631457606,16831.48631457606,-15.050757947748258,within_20_percent
land,rover range rover sport 3.0l turbocharged diesel hse td6,2017.0,75218.0,3.0l v6 24v ddi dohc turbo diesel,3.0,8-speed automatic,1.0,diesel,four-wheel drive,14.0,19.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony / ebony,corris grey,29000.0,7.0,16.5,45787.28743696159,-16787.28743696159,16787.28743696159,-36.6636426324092,potentially_underpriced
porsche,panamera gts,2019.0,41759.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,19.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,black,gray,87999.0,5.0,22.0,104751.53973491481,-16752.53973491481,16752.53973491481,-15.992642950460622,within_20_percent
ford,expedition xl,2016.0,31416.0,3.5l v6 24v gdi dohc twin turbo,3.5,6-speed automatic,1.0,gasoline,four-wheel drive,15.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dune,oxford white,24431.0,8.0,17.5,40999.40030049621,-16568.400300496207,16568.400300496207,-40.411323529275336,potentially_underpriced
jeep,wrangler sport,2021.0,18223.0,3.6l v6 24v mpfi dohc,3.6,6-speed manual,0.0,gasoline,four-wheel drive,16.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,black,sarge green clearcoat,32987.0,3.0,18.5,49450.97331042488,-16463.97331042488,16463.97331042488,-33.29352732265448,potentially_underpriced
mercedes-benz,a-class a 220 4matic,2019.0,26313.0,2.0l i4 16v gdi dohc turbo,2.0,7-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,16.0,22.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,macchiato beige,mojave silver metallic,29997.0,5.0,19.0,46440.720663760774,-16443.720663760774,16443.720663760774,-35.40797909407197,potentially_underpriced
porsche,cayenne s coupe awd,2020.0,9162.0,2.9l v6 24v gdi dohc twin turbo,2.9,8-speed automatic,1.0,gasoline,four-wheel drive,20.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,black,black,82975.0,4.0,22.5,99403.90306282487,-16428.903062824873,16428.903062824873,-16.52742252227414,within_20_percent
porsche,taycan 4s,2020.0,13588.0,electric,,2-speed automatic,1.0,electric,four-wheel drive,18.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,black,white,93985.0,4.0,20.5,110344.96336721911,-16359.963367219112,16359.963367219112,-14.826198557676328,within_20_percent
chevrolet,trailblazer rs,2022.0,21171.0,1.3l i3 12v gdi dohc turbo,1.3,9-speed automatic,1.0,gasoline,four-wheel drive,26.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,jet black,mosaic black metallic,26000.0,2.0,28.0,42344.75158658771,-16344.751586587707,16344.751586587707,-38.599238333387106,potentially_underpriced
honda,hr-v lx,2023.0,319.0,2.0l i4 16v gdi dohc,2.0,automatic cvt,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,black,white,26700.0,1.0,,43006.75403021856,-16306.754030218559,16306.754030218559,-37.916728192880285,potentially_underpriced
porsche,cayenne platinum edition,2017.0,59745.0,3.6l v6 24v gdi dohc,3.6,8-speed automatic,1.0,gasoline,four-wheel drive,18.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,luxor beige,carrara white metallic,37500.0,7.0,22.0,53787.33619493241,-16287.33619493241,16287.33619493241,-30.28098684029444,potentially_underpriced
ford,fusion titanium,2019.0,68483.0,ecoboost 2.0l i4 gtdi dohc turbocharged vct,2.0,6-speed automatic,1.0,gasoline,four-wheel drive,20.0,29.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,white,22800.0,5.0,24.5,39045.9725114225,-16245.9725114225,16245.9725114225,-41.60729382952341,potentially_underpriced
chevrolet,silverado 2500 lt,2014.0,102007.0,6.6l v8 32v ddi ohv turbo diesel,6.6,6-speed automatic,1.0,diesel,four-wheel drive,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dark cashmere / light cashmere,summit white,25900.0,10.0,,42129.98417141399,-16229.984171413991,16229.984171413991,-38.52359427760324,potentially_underpriced
porsche,911 carrera s,2013.0,47407.0,3.8l h6 24v gdi dohc,3.8,7-speed,0.0,gasoline,rear-wheel drive,18.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,white,74492.0,11.0,21.0,90691.66447241978,-16199.664472419783,16199.664472419783,-17.862352143008977,within_20_percent
bmw,m240 i,2023.0,465.0,3.0l i6 24v gdi dohc turbo,3.0,automatic,1.0,gasoline,rear-wheel drive,,,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,cognac,portimao blue metallic,54714.0,1.0,,70803.80844477445,-16089.808444774448,16089.808444774448,-22.724495755513175,potentially_underpriced
audi,a8 l 4.0t sport,2017.0,68587.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic,1.0,gasoline,four-wheel drive,18.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,brilliant black,34900.0,7.0,23.5,50873.62995744704,-15973.62995744704,15973.62995744704,-31.398643994556892,potentially_underpriced
mercedes-benz,amg gls 63 base 4matic,2019.0,67669.0,5.5l v8 32v gdi dohc twin turbo,5.5,7-speed automatic,1.0,gasoline,four-wheel drive,16.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,black,obsidian black metallic,68560.0,5.0,19.0,84504.56371761549,-15944.563717615485,15944.563717615485,-18.86828712694927,within_20_percent
ford,focus se,2018.0,28380.0,2.0l i4 16v gdi dohc flexible fuel,2.0,6-speed automatic with auto-shift,1.0,e85 flex fuel,front-wheel drive,26.0,38.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,black,black,12995.0,6.0,32.0,28887.264654894065,-15892.264654894065,15892.264654894065,-55.014778466404934,potentially_underpriced
kia,stinger gt2,2022.0,24805.0,3.3l v6 24v gdi dohc twin turbo,3.3,8-speed automatic,1.0,gasoline,unknown,18.0,25.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,black,silver,41998.0,2.0,21.5,57859.6775307015,-15861.677530701498,15861.677530701498,-27.414044128201333,potentially_underpriced
bmw,550 i xdrive,2013.0,92681.0,4.4l v8 32v gdi dohc twin turbo,4.4,8-speed automatic,1.0,gasoline,four-wheel drive,16.0,24.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,dark graphite,17294.0,11.0,20.0,33106.40537496522,-15812.405374965223,15812.405374965223,-47.76237467001606,potentially_underpriced
mercedes-benz,glb 250 base 4matic,2022.0,3498.0,2.0l i4 16v gdi dohc turbo,2.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,16.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,midnight black,42900.0,2.0,19.0,58706.45102972609,-15806.451029726093,15806.451029726093,-26.9245555683863,potentially_underpriced
porsche,cayenne e-hybrid s,2016.0,81341.0,3.0l v6 24v gdi dohc supercharged hybrid,3.0,8-speed automatic,1.0,hybrid,four-wheel drive,19.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,black,white,30045.0,8.0,22.5,45836.505954650966,-15791.505954650966,15791.505954650966,-34.45181002730559,potentially_underpriced
honda,pilot ex-l 7-passenger,2023.0,100.0,3.5l v6 24v gdi dohc,3.5,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,black,modern steel metallic,45695.0,1.0,,61459.690616837186,-15764.690616837186,15764.690616837186,-25.650455540233995,potentially_underpriced
bmw,i3 base,2015.0,31510.0,electric,,1-speed automatic,1.0,electric,rear-wheel drive,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,giga cassia / carum spice gray,white,15999.0,9.0,,31748.40742058135,-15749.407420581349,15749.407420581349,-49.606921102982874,potentially_underpriced
jeep,wrangler sport,2023.0,208.0,3.6l v6 24v mpfi dohc,3.6,automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,black,black clearcoat,38900.0,1.0,,54506.5937985242,-15606.593798524198,15606.593798524198,-28.63248776141054,potentially_underpriced
cadillac,escalade premium luxury,2019.0,60431.0,6.2l v8 16v gdi ohv,6.2,10-speed automatic,1.0,gasoline,four-wheel drive,18.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,black raven,52495.0,5.0,22.0,68018.11691396119,-15523.116913961188,15523.116913961188,-22.822032744007004,potentially_underpriced
mercedes-benz,e-class e 450,2019.0,41224.0,3.0l v6 24v gdi dohc twin turbo,3.0,9-speed automatic,1.0,gasoline,four-wheel drive,15.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,black,obsidian black metallic,36990.0,5.0,20.0,52495.85141983434,-15505.85141983434,15505.85141983434,-29.537289138958155,potentially_underpriced
