brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,vehicle_age,avg_mpg,predicted_price,actual_minus_predicted,predicted_minus_actual,difference_pct_of_predicted,pricing_flag
volkswagen,vanagon gl camper,1990.0,160144.0,2.1l h4 8v sohc,2.1,3-speed automatic,1.0,gasoline,rear-wheel drive,25.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gray,burgundy,49900.0,34.0,31.5,6371.990920183608,43528.009079816395,-43528.009079816395,683.1147380003193,potentially_overpriced
audi,rs 6 avant 4.0t quattro,2021.0,28798.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic,1.0,gasoline,four-wheel drive,15.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black / express red,nardo gray,116990.0,3.0,18.5,74217.61069226998,42772.389307730016,-42772.389307730016,57.63105132160352,potentially_overpriced
land,rover range rover sport svr,2020.0,29300.0,"5l v-8 gasoline direct injection, dohc, variable valve control,",5.0,automatic,1.0,gasoline,four-wheel drive,17.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,red/black,spectral racing red,94999.0,4.0,20.0,54116.54194980368,40882.45805019632,-40882.45805019632,75.54521515457739,potentially_overpriced
porsche,911 50th anniversary edition,2014.0,32519.0,3.8l h6 24v gdi dohc,3.8,7-speed manual,0.0,gasoline,rear-wheel drive,19.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,139995.0,10.0,22.0,99121.42619518944,40873.573804810556,-40873.573804810556,41.23586128020647,potentially_overpriced
porsche,panamera turbo s,2021.0,3798.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic with auto-shift,1.0,gasoline,four-wheel drive,18.0,22.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black,chalk,169800.0,3.0,20.0,129148.91168314134,40651.08831685866,-40651.08831685866,31.476136954675642,potentially_overpriced
land,rover defender 110 s,2023.0,1239.0,2.0l i4 16v gdi dohc turbo,2.0,automatic,1.0,gasoline,four-wheel drive,22.0,29.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ebony,fuji white,90996.0,1.0,25.5,51938.27065271919,39057.72934728081,-39057.72934728081,75.20028845095167,potentially_overpriced
mercedes-benz,g-class g 550,2015.0,67710.0,5.5l v8 32v mpfi dohc,5.5,7-speed automatic,1.0,gasoline,four-wheel drive,25.0,35.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,gray / black,gray,67980.0,9.0,30.0,29131.589509851216,38848.41049014879,-38848.41049014879,133.35492894066664,potentially_overpriced
maserati,granturismo mc,2017.0,27250.0,454.0hp 4.7l 8 cylinder engine gasoline fuel,4.7,a/t,0.0,gasoline,rear-wheel drive,15.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,red,gray,72999.0,7.0,20.0,34286.61456184007,38712.38543815993,-38712.38543815993,112.90815944612275,potentially_overpriced
lexus,lx 600 f sport,2022.0,11718.0,3.5l v6 24v pdi dohc twin turbo,3.5,10-speed automatic,1.0,gasoline,four-wheel drive,21.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,black,manganese luster,127995.0,2.0,26.0,89397.00840226655,38597.991597733446,-38597.991597733446,43.17593204467325,potentially_overpriced
jeep,grand wagoneer series ii obsidian,2022.0,13560.0,premium unleaded v-8 6.4 l/392,6.4,automatic,1.0,gasoline,four-wheel drive,17.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,global black,bright white clearcoat,93201.0,2.0,20.5,54863.19957694656,38337.80042305344,-38337.80042305344,69.87890009820524,potentially_overpriced
mini,cooper s s w/jcw gp kit,2006.0,22418.0,1.6l i4 16v mpfi sohc supercharged,1.6,6-speed manual,0.0,gasoline,front-wheel drive,22.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,black,thunder blue metallic,54900.0,18.0,27.0,16854.93305472441,38045.06694527559,-38045.06694527559,225.72066481516887,potentially_overpriced
maserati,quattroporte trofeo,2022.0,3603.0,3.8l v8 32v gdi dohc twin turbo,3.8,8-speed automatic,1.0,gasoline,rear-wheel drive,13.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,verde,123800.0,2.0,16.5,86403.5271415375,37396.4728584625,-37396.4728584625,43.28118781216349,potentially_overpriced
cadillac,escalade sport platinum,2022.0,3044.0,6.2l v8 16v gdi ohv,6.2,10-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,jet black,satin steel metallic,129995.0,2.0,,92706.06617540558,37288.933824594424,-37288.933824594424,40.22275495331823,potentially_overpriced
cadillac,eldorado base,1981.0,51234.0,6.0l v8 16v ohv,6.0,automatic,1.0,gasoline,front-wheel drive,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,white,blue,44999.0,43.0,24.0,9319.264726548796,35679.7352734512,-35679.7352734512,382.8599822023135,potentially_overpriced
mercedes-benz,e-class e 63 amg 4matic,2020.0,7793.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,17.0,24.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,black,designo diamond white metallic,124950.0,4.0,20.5,90752.86337739619,34197.13662260381,-34197.13662260381,37.68160623251617,potentially_overpriced
land,rover range rover p530 se,2023.0,8700.0,4.4l v8 32v gdi dohc twin turbo,4.4,automatic,1.0,gasoline,four-wheel drive,21.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ebony,santorini black,155987.0,1.0,23.5,122403.08616308597,33583.91383691403,-33583.91383691403,27.437146308686934,potentially_overpriced
land,rover range rover sport first edition,2023.0,1917.0,4.4l v8 32v gdi dohc twin turbo,4.4,automatic,1.0,gasoline,four-wheel drive,17.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,light cloud,firenze red,156869.0,1.0,20.0,123747.12791599058,33121.87208400942,-33121.87208400942,26.76577035912719,potentially_overpriced
lexus,lc 500h base,2018.0,67707.0,3.5l v6 24v gdi dohc hybrid,3.5,automatic cvt,1.0,hybrid,rear-wheel drive,16.0,23.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,rioja red,nightfall mica,64992.0,6.0,19.5,32184.60966826213,32807.39033173787,-32807.39033173787,101.93502630572489,potentially_overpriced
maserati,quattroporte trofeo,2022.0,4049.0,3.8l v8 32v gdi dohc twin turbo,3.8,8-speed automatic,1.0,gasoline,rear-wheel drive,18.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,red,bianco,122975.0,2.0,21.5,90333.47069189286,32641.529308107143,-32641.529308107143,36.1344793442511,potentially_overpriced
cadillac,escalade sport platinum,2022.0,7280.0,6.2l v8 16v gdi ohv,6.2,automatic,1.0,gasoline,four-wheel drive,18.0,26.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dark auburn,crystal white tri-coat,118888.0,2.0,22.0,86348.74332940482,32539.256670595176,-32539.256670595176,37.68353240123461,potentially_overpriced
jaguar,f-pace svr,2023.0,5599.0,intercooled supercharger premium unleaded v-8 5.0 l/305,5.0,automatic,1.0,gasoline,four-wheel drive,20.0,28.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony/ebony/light oyster,ostuni pearl white,87495.0,1.0,24.0,55013.14191491378,32481.85808508622,-32481.85808508622,59.04381563104389,potentially_overpriced
jaguar,f-pace svr,2022.0,678.0,intercooled supercharger premium unleaded v-8 5.0 l/305,5.0,automatic,1.0,gasoline,four-wheel drive,16.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,svo premium palette green,86998.0,2.0,20.0,55651.598677405804,31346.401322594196,-31346.401322594196,56.32614707853961,potentially_overpriced
bmw,740 i,2023.0,1422.0,3.0l i6 24v gdi dohc turbo,3.0,8-speed automatic,1.0,gasoline,rear-wheel drive,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,black,black sapphire metallic,93899.0,1.0,,62737.58730538919,31161.412694610808,-31161.412694610808,49.669447030096464,potentially_overpriced
cadillac,ct6-v 4.2l blackwing twin turbo,2020.0,7120.0,4.2l v8 32v gdi dohc twin turbo,4.2,10-speed automatic,1.0,gasoline,four-wheel drive,14.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,86998.0,4.0,17.5,56042.55472077647,30955.44527922353,-30955.44527922353,55.235607001597884,potentially_overpriced
land,rover defender carpathian edition,2023.0,2168.0,5.0l v8 32v gdi dohc supercharged,5.0,automatic,1.0,gasoline,four-wheel drive,18.0,28.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,ebony,carpathian grey,122994.0,1.0,23.0,92122.29234089199,30871.70765910801,-30871.70765910801,33.51165811730938,potentially_overpriced
audi,rs q8 4.0t quattro,2021.0,22852.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic,1.0,gasoline,four-wheel drive,13.0,19.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black / express red,florett silver metallic,115995.0,3.0,16.0,85554.86580936803,30440.134190631972,-30440.134190631972,35.57966446754553,potentially_overpriced
cadillac,cts-v base,2017.0,60138.0,640.0hp 6.2l 8 cylinder engine gasoline fuel,6.2,a/t,0.0,gasoline,rear-wheel drive,17.0,24.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,red,68500.0,7.0,20.5,38328.348024554056,30171.651975445944,-30171.651975445944,78.71889484022965,potentially_overpriced
bmw,m4 competition xdrive,2023.0,2100.0,503.0hp 3.0l straight 6 cylinder engine gasoline fuel,3.0,8-speed a/t,0.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,red,white,96000.0,1.0,,66092.4910741371,29907.5089258629,-29907.5089258629,45.250993629995165,potentially_overpriced
mercedes-benz,maybach s 560 base 4matic,2018.0,64372.0,4.0l v8 32v gdi dohc twin turbo,4.0,9-speed automatic,1.0,gasoline,four-wheel drive,23.0,31.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,beige,black,87437.0,6.0,27.0,57539.305541789785,29897.694458210215,-29897.694458210215,51.96047150151307,potentially_overpriced
audi,sq8 4.0t premium plus,2021.0,15522.0,twin turbo premium unleaded v-8 4.0 l/244,4.0,automatic,1.0,gasoline,four-wheel drive,15.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,arras red,orca black metallic,89991.0,3.0,18.0,60625.680966833585,29365.319033166415,-29365.319033166415,48.43709557543983,potentially_overpriced
mercedes-benz,eqs 580 base 4matic,2023.0,1135.0,electric,,automatic,1.0,electric,four-wheel drive,14.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,black,obsidian black metallic,123894.0,1.0,17.0,94979.14264917253,28914.85735082747,-28914.85735082747,30.443375823712366,potentially_overpriced
chevrolet,silverado 2500 high country,2020.0,75132.0,6.6l v8 16v gdi ohv,6.6,automatic,1.0,gasoline,four-wheel drive,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,jet black,shadow gray metallic,57996.0,4.0,,29115.273891624423,28880.726108375577,-28880.726108375577,99.19441670333619,potentially_overpriced
bmw,ix m60,2023.0,3414.0,electric,,automatic,1.0,electric,four-wheel drive,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,black,oxide gray metallic,100000.0,1.0,,71465.79990285351,28534.200097146488,-28534.200097146488,39.927070201319,potentially_overpriced
audi,rs q8 4.0t quattro,2021.0,25707.0,4.0l v8 32v gdi dohc twin turbo,4.0,8-speed automatic,1.0,gasoline,four-wheel drive,13.0,19.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,black / gray,orca black metallic,106450.0,3.0,16.0,78161.71824791151,28288.281752088486,-28288.281752088486,36.191990639668866,potentially_overpriced
cadillac,escalade sport,2021.0,45830.0,6.2l v8 16v gdi ohv,6.2,10-speed automatic,1.0,gasoline,four-wheel drive,22.0,29.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,black,black,94900.0,3.0,25.5,67026.708698602,27873.291301398,-27873.291301398,41.585349844247034,potentially_overpriced
chevrolet,silverado 3500 lt,2022.0,37300.0,6.6l v8 16v gdi ohv,6.6,6-speed automatic,1.0,gasoline,four-wheel drive,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,gideon,summit white,62000.0,2.0,,34825.40674023104,27174.59325976896,-27174.59325976896,78.03094293332776,potentially_overpriced
maserati,levante modena,2022.0,5005.0,3.0l v6 24v gdi dohc twin turbo,3.0,8-speed automatic,1.0,gasoline,four-wheel drive,11.0,17.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,rosso corallo,blu,89996.0,2.0,14.0,63025.37664913134,26970.623350868656,-26970.623350868656,42.793275954568024,potentially_overpriced
bmw,i8 base,2016.0,76762.0,1.5l i3 12v gdi dohc turbo hybrid,1.5,6-speed automatic,1.0,hybrid,four-wheel drive,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,tera exclusive dalbergia brown,sophisto gray metallic,56795.0,8.0,,29842.795292834377,26952.204707165623,-26952.204707165623,90.31394158186374,potentially_overpriced
mercedes-benz,amg gt amg gt,2017.0,8350.0,4.0l v8 32v mpfi dohc twin turbo,4.0,7-speed automatic with auto-shift,1.0,gasoline,rear-wheel drive,17.0,22.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,black,black,84835.0,7.0,19.5,58067.82081137171,26767.179188628288,-26767.179188628288,46.096407295150875,potentially_overpriced
mercedes-benz,amg gt 53 base,2020.0,44765.0,3.0l i6 24v gdi dohc turbo,3.0,9-speed automatic,1.0,gasoline,four-wheel drive,23.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,black,polar white,78669.0,4.0,27.0,52072.053736441696,26596.946263558304,-26596.946263558304,51.07719852605872,potentially_overpriced
maserati,ghibli modena q4,2023.0,1464.0,3.0l v6 24v gdi dohc twin turbo,3.0,8-speed automatic,1.0,gasoline,four-wheel drive,16.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,tan,nero ribelle,89990.0,1.0,20.0,63787.02336766386,26202.97663233614,-26202.97663233614,41.0788515421139,potentially_overpriced
